RNNumber,Year,Qtr,RNDate,RNTime,RNTimezone,Address,Count,Model,USOrder,FSD,TeslaOwner,OriginalDate
112744100,2019,4,11/21/2019,20:00,PST,"San Francisco, CA",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,20:00,PST,"Rough and Ready, CA",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,20:00,PST,"Squamish, BC, Canada",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,20:00,PST,"Reno, NV",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,20:00,PST,CA,1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,20:20,MST,"Denver, CO",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,21:00,MST,"Phoenix, AZ",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,21:00,PST,"Sacramanto, CA",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,21:00,PST,"Buena Park, CA",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,21:00,MST,"Phoenix, AZ",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,21:00,PST,CA,1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,21:00,MST," Springs, CO",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,21:10,PST,"Berkeley, CA",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,22:00,CST,"Minneapolis, MN",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,22:00,CST,"Seattle, WA",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,22:00,CST,"San Antonio, TX",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,22:00,CST,"Lebanon, MO",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,22:00,PST,"Berkeley, CA",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,23:00,CST,"Mountain Home, AR",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,23:00,EST,"Marlborough, MA",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,23:00,CST,"Dallas, TX",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,23:00,EST,"Atlanta, GA",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,23:00,EST,"Chattanooga, TN",1,DualMotor,True,False,False,
112744100,2019,4,11/21/2019,23:00,MST,"Clovis, NM",1,SingleMotor,True,False,False,
112744100,2019,4,11/21/2019,23:00,CST,"Dothan, AL",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,23:20,CST,"League City, TX",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,23:20,CST,"League City, TX",1,TriMotor,True,False,False,
112744100,2019,4,11/21/2019,23:53,PST,CA,1,TriMotor,True,False,False,
112744100,2019,4,11/22/2019,00:00,EST,Need Location,1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,00:00,CST,"Austin , TX",1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,00:00,EST,"Dublin, NC",1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,00:00,CST,"Dallas, TX",1,SingleMotor,True,False,False,
112744100,2019,4,11/22/2019,00:00,EST,"Wopdbridge, VA",1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,00:00,EST,"Ellenwood, GA",1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,05:00,WET,"Scotland, United Kingdom",1,DualMotor,False,False,False,
112744100,2019,4,11/22/2019,10:00,CST,"San Antonio, TX",1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,10:00,EST,"Orlando, FL",1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,11:00,CST,"Dallas, TX",1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,11:43,AST,"Montague, PE, Canada",1,DualMotor,False,False,False,
112744100,2019,4,11/22/2019,11:45,EST,"Bowie, MD",1,DualMotor,True,False,False,
112744100,2019,4,11/22/2019,13:00,EST,"Chapel Hill, NC",1,TriMotor,True,False,False,
112744100,2019,4,11/22/2019,15:00,AEDT,"Sydney, NSW, Australia",1,DualMotor,False,False,False,
112744100,2019,4,11/22/2019,16:18,CST,"Austin, TX",1,TriMotor,True,False,False,
112744100,2019,4,11/22/2019,20:12,PST,"Boston, MA",1,TriMotor,True,False,False,
112744100,2019,4,11/22/2019,20:30,PST,"San Diego, CA",1,TriMotor,True,False,False,
112744100,2019,4,11/23/2019,01:30,EET,Sweden,1,TriMotor,False,False,False,
112744100,2019,4,11/23/2019,02:00,EST,New Jersey,1,TriMotor,True,False,False,
112744100,2019,4,11/23/2019,08:00,EST,"Powell, OH",1,TriMotor,True,False,False,
112744100,2019,4,11/23/2019,09:11,EST,GA,1,TriMotor,True,False,False,
112744100,2019,4,11/23/2019,10:00,PST,WA,1,DualMotor,True,False,False,
112744100,2019,4,11/23/2019,11:30,PST,CA,1,DualMotor,True,False,False,
112744100,2019,4,11/23/2019,16:15,PST,"Hood River, OR",1,TriMotor,True,False,False,
112744100,2019,4,11/23/2019,17:14,PST,"Vancouver, WA",1,DualMotor,True,False,False,
112744100,2019,4,11/23/2019,18:12,CDT,"Houston Tx, TX",1,TriMotor,True,False,False,
112744100,2019,4,11/23/2019,23:00,EST,"Clearwater, FL",1,DualMotor,True,False,False,
112744100,2019,4,11/24/2019,06:40,PST,"San Jose, CA",1,TriMotor,True,False,False,
112744100,2019,4,11/24/2019,20:26,EST,"Wake Forest, NC",1,DualMotor,True,False,False,
112744100,2019,4,11/24/2019,21:00,CST,"Houston, TX",1,DualMotor,True,False,False,
112744100,2019,4,11/25/2019,09:30,EST,"Oshawa, ON, Canada",1,DualMotor,True,False,False,
112744100,2019,4,11/25/2019,17:00,EST,"Oshawa, ON, Canada",1,DualMotor,True,False,False,
112744100,2019,4,11/27/2019,09:15,EST,"Atlanta, GA",1,DualMotor,True,False,False,
112744100,2019,4,11/27/2019,12:11,MDT,"LYONS, CO",1,Quad,True,False,False,
112744100,2019,4,11/28/2019,20:12,EST,"Boca Raton, FL",1,DualMotor,True,False,False,
112744100,2019,4,11/29/2019,09:55,PST,"Houston, TX",1,DualMotor,True,False,False,
112744100,2019,4,11/30/2019,15:15,NFT,"Queensland, Australia",1,TriMotor,False,False,False,
112744100,2019,4,12/01/2019,10:44,EST,"Kennebunk, ME",1,DualMotor,True,False,False,
112744100,2020,1,01/01/2020,10:00,CDT,TX,1,DualMotor,True,False,False,
112744100,2020,1,01/01/2020,23:00,EST,"Greensboro, NC",1,TriMotor,True,False,False,
112744100,2020,1,02/14/2020,08:45,PST,"Huntington Beach, CA",1,DualMotor,True,False,False,
112744100,2020,1,03/11/2020,17:18,MDT,CO,1,TriMotor,True,False,False,
112744100,2020,1,03/22/2020,10:00,CDT,"Alva, OK",1,TriMotor,True,False,False,
112744100,2020,2,04/08/2020,10:10,CDT,"Alva, OK",1,TriMotor,True,False,False,
112744100,2020,2,04/17/2020,13:06,MDT,UT,1,DualMotor,True,False,False,
112744100,2020,2,06/17/2020,18:19,EST,"Plymouth Mi, MI",1,DualMotor,True,False,False,
112744100,2020,3,08/01/2020,12:00,PDT,"Huntington Beach, CA",1,TriMotor,True,False,False,
112744100,2020,3,09/22/2020,19:13,CDT,"Austin, TX",1,TriMotor,True,False,False,
112744100,2020,3,09/27/2020,01:23,CDT,"Miami, FL",1,TriMotor,True,False,False,
112744100,2020,4,10/11/2020,15:00,EST,"Milton, PA",1,TriMotor,True,False,False,
112744100,2020,4,10/22/2020,11:30,PDT,"Los Angeles, CA",1,Quad,True,False,False,
112744100,2020,4,11/21/2020,13:32,PST,Usa,1,DualMotor,True,False,False,
112744100,2021,1,02/06/2021,08:28,CST,"Huntsville, AL",1,TriMotor,True,False,False,
112744100,2021,2,04/03/2021,18:36,HST,"Kahului, HI",1,DualMotor,True,False,False,
112744100,2021,2,04/09/2021,10:50,EDT,"Chester, NY",1,TriMotor,True,False,False,
112744100,2021,2,05/24/2021,22:37,PDT,AZ,1,TriMotor,True,False,False,
112744100,2021,2,06/01/2021,22:10,EDT,"Sterling, VA",1,TriMotor,True,False,False,
112744100,2021,2,06/16/2021,09:02,MDT," Springs, CO",1,DualMotor,True,False,False,7/1/2021
112744100,2021,3,07/06/2021,00:29,EDT,"Valdosta, GA",1,DualMotor,True,False,False,7/12/2021
112744100,2021,3,07/12/2021,00:29,EST,GA,1,DualMotor,True,False,False,
112744100,2021,3,08/30/2021,20:15,PDT,"Shelton, WA",1,DualMotor,True,False,False,10/18/2021
112744100,2021,3,07/12/2021,11:00,CST,"Saint Paul, MN",1,Quad,True,False,False,5/16/2022
112744100,2021,3,07/12/2021,14:30,PST,CA,1,SingleMotor,True,False,False,5/16/2022
112744101,2019,4,11/21/2019,21:00,MST,"Durango, CO",1,TriMotor,True,False,False,
112744101,2019,4,11/21/2019,22:00,CST,"Sugar Land, TX",1,TriMotor,True,False,False,
112744102,2019,4,11/21/2019,21:00,PST,"Los Angeles, CA",1,DualMotor,True,False,False,
112744103,2019,4,11/21/2019,21:00,PST,"Los Angeles, CA",1,TriMotor,True,False,False,
112744104,2019,4,11/21/2019,21:00,PST,"North Hills, CA",1,DualMotor,True,False,False,
112744124,2019,4,11/21/2019,20:33,PST,"Omaha, NE",1,DualMotor,True,False,False,
112744133,2019,4,11/22/2019,00:01,MST,"Draper, UT",1,TriMotor,True,False,False,
112744156,2019,4,11/22/2019,02:37,EST,"Marlton, NJ",1,TriMotor,True,False,False,
112744161,2019,4,11/22/2019,03:17,EST,"Chesapeake, VA",1,TriMotor,True,False,False,
112744162,2019,4,11/21/2019,20:05,PST,"Seattle, WA",1,DualMotor,True,False,False,
112744162,2019,4,11/21/2019,21:00,PST,"Seattle, WA",1,DualMotor,True,False,False,
112744167,2019,4,11/21/2019,08:02,PST,"San Antonio, TX",1,TriMotor,True,False,False,
112744170,2019,4,11/21/2019,22:13,PST,"Vancouver, BC, Canada",1,TriMotor,True,False,False,
112744171,2019,4,11/21/2019,00:00,MST,"Scottsdale, AZ",1,TriMotor,True,False,False,
112744176,2019,4,11/21/2019,01:03,CST,"Minneapolis, MN",1,TriMotor,True,False,False,
112744187,2019,4,11/21/2019,20:00,PST,"Mesa, AZ",1,TriMotor,True,False,False,
112744191,2019,4,11/21/2019,00:28,PST,"Santa Barbara, CA",1,TriMotor,True,False,False,
112744191,2019,4,11/21/2019,22:01,CST,"The Woodlands, TX",1,TriMotor,True,False,False,
112744196,2019,4,11/21/2019,22:00,CST,"Dallas, TX",1,TriMotor,True,False,False,
112744207,2019,4,11/21/2019,22:01,CST,"Dallas, TX",1,TriMotor,True,False,False,
112744208,2019,4,11/21/2019,20:01,PST,"San Jose, CA",1,TriMotor,True,False,False,
112744211,2019,4,11/21/2019,00:00,EST,"Tampa, FL",1,DualMotor,True,False,False,
112744213,2019,4,11/21/2019,21:00,MST," Springs, CO",1,TriMotor,True,False,False,
112744216,2019,4,11/21/2019,20:01,PST,"Auburn, CA",1,DualMotor,True,False,False,
112744217,2019,4,11/21/2019,21:01,MST,"Denver, CO",1,DualMotor,True,False,False,
112744220,2019,4,11/21/2019,20:01,PST,"Portland, OR",1,TriMotor,True,False,False,
112744226,2019,4,11/21/2019,23:00,PST,"Vancouver, BC, Canada",1,SingleMotor,True,False,False,
112744229,2019,4,11/21/2019,23:00,CST,"Lincoln, NE",1,TriMotor,True,False,False,
112744232,2019,4,11/21/2019,23:59,MDT,"SLC, UT",1,DualMotor,True,False,False,
112744234,2019,4,11/21/2019,20:15,PST,"Los Angeles, CA",1,TriMotor,True,False,False,
112744243,2019,4,11/21/2019,23:01,EST,"Boston, MA",1,TriMotor,True,False,False,
112744258,2019,4,11/21/2019,00:00,,Norway,1,TriMotor,False,False,False,
112744268,2019,4,11/21/2019,02:37,EST,"Fort Lauderdale, FL",2,DualMotor,True,False,False,
112744273,2019,4,11/21/2019,20:10,PST,"Pensacola, FL",1,DualMotor,True,False,False,
112744274,2019,4,11/21/2019,08:00,EST,"Orlando, FL",1,DualMotor,True,False,False,
112744279,2019,4,11/21/2019,20:01,PST,"Grass Valley, CA",1,DualMotor,True,False,False,
112744287,2019,4,11/21/2019,02:24,CST,"Overland Park, KS",1,DualMotor,True,False,False,
112744289,2019,4,11/21/2019,23:30,EST,"Orlando, FL",1,TriMotor,True,False,False,
112744295,2019,4,11/21/2019,00:28,MST,"Denver, CO",1,TriMotor,True,False,False,
112744299,2019,4,11/21/2019,20:02,PST,"Box Elder, SD",1,DualMotor,True,False,False,
112744306,2019,4,11/21/2019,22:10,PDT,"Tipp City , OH",1,DualMotor,True,False,False,
112744308,2019,4,11/21/2019,20:02,PST,"Las Vegas, NV",1,DualMotor,True,False,False,
112744328,2019,4,11/21/2019,02:03,EST,"Dallas, TX",1,TriMotor,True,False,False,
112744330,2019,4,11/21/2019,22:02,CST,"Regina, SK, Canada",1,TriMotor,True,False,False,
112744332,2019,4,11/21/2019,00:00,EST,"Rockledge, FL",1,DualMotor,True,False,False,
112744333,2019,4,11/21/2019,22:02,CST,"Pflugerville, TX",1,TriMotor,True,False,False,
112744345,2019,4,11/21/2019,21:02,MST,"Leadville, CO",1,DualMotor,True,False,False,
112744355,2019,4,11/21/2019,02:35,EST,"Bryn Mawr, PA",1,DualMotor,True,False,False,
112744362,2019,4,11/21/2019,21:03,MST,"Denver, CO",1,TriMotor,True,False,False,
112744365,2019,4,11/21/2019,20:35,PST,"Tucson, AZ",1,TriMotor,True,False,False,
112744369,2019,4,11/21/2019,23:59,PST,"Montreal, QC, Canada",1,DualMotor,True,False,False,
112744375,2019,4,11/21/2019,23:02,EST,"polis, IN",1,DualMotor,True,False,False,
112744376,2019,4,11/22/2019,01:29,MST,"Denver, CO",1,DualMotor,True,False,False,
112744377,2019,4,11/22/2019,22:20,MST,"Denver, CO",1,DualMotor,True,False,False,
112744383,2019,4,11/21/2019,20:01,PST,"San Luis Obispo, CA",1,TriMotor,True,False,False,
112744389,2019,4,11/21/2019,22:02,CST,"Southlake, TX",1,TriMotor,True,False,False,
112744397,2019,4,11/21/2019,21:30,MST,"Logan, UT",1,TriMotor,True,False,False,
112744405,2019,4,11/21/2019,23:02,EST,North Carolina,1,DualMotor,True,False,False,
112744408,2019,4,11/21/2019,20:02,PST,"Phoenix, AZ",1,TriMotor,True,False,False,
112744424,2019,4,11/21/2019,21:03,MST,"Denver, CO",1,TriMotor,True,False,False,
112744427,2019,4,11/21/2019,03:07,EST,"Clintwood, VA",1,TriMotor,True,False,False,
